row_idx,original_sample_idx,variant_kind,variant_index,paraphrase_style,gold_numeric,numbers_preserved
107,35,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",9,true
108,36,original,0,,75,true
109,36,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",75,true
110,36,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",75,true
111,37,original,0,,2,true
112,37,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",2,true
113,37,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",2,true
114,38,original,0,,10,true
115,38,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",10,true
116,38,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",10,true
117,39,original,0,,18,true
118,39,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",18,true
119,39,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",18,true
120,40,original,0,,8,true
121,40,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",8,true
122,40,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",8,true
123,41,original,0,,200,true
124,41,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",200,false
125,41,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",200,false
126,42,original,0,,26,true
127,42,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",26,true
128,42,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",26,true
129,43,original,0,,48,true
130,43,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",48,true
131,43,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",48,true
132,44,original,0,,20,true
133,44,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",20,true
134,44,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",20,true
135,45,original,0,,104,true
136,45,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",104,true
137,45,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",104,true
138,46,original,0,,163,true
139,46,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",163,true
140,46,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",163,true
141,47,original,0,,800,true
142,47,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",800,true
143,47,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",800,true
144,48,original,0,,8,true
145,48,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",8,false
146,48,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",8,true
147,49,original,0,,30,true
148,49,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",30,false
149,49,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",30,true
150,50,original,0,,294,true
151,50,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",294,true
152,50,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",294,true
153,51,original,0,,5,true
154,51,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",5,true
155,51,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",5,true
156,52,original,0,,15,true
157,52,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",15,false
158,52,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",15,true
159,53,original,0,,40,true
160,53,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",40,true
161,53,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",40,true
162,54,original,0,,40,true
163,54,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",40,false
164,54,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",40,true
165,55,original,0,,14,true
166,55,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",14,true
167,55,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",14,true
168,56,original,0,,3,true
169,56,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",3,true
170,56,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",3,true
171,57,original,0,,83,true
172,57,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",83,false
173,57,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",83,true
174,58,original,0,,57,true
175,58,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",57,true
176,58,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",57,true
177,59,original,0,,187,true
178,59,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",187,true
179,59,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",187,true
180,60,original,0,,17,true
181,60,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",17,true
182,60,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",17,true
183,61,original,0,,1430,true
184,61,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",1430,true
185,61,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",1430,true
186,62,original,0,,25000,true
187,62,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",25000,true
188,62,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",25000,true
189,63,original,0,,1596,true
190,63,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",1596,false
191,63,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",1596,true
192,64,original,0,,300,true
193,64,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",300,true
194,64,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",300,true
195,65,original,0,,36,true
196,65,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",36,true
197,65,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",36,true
198,66,original,0,,48,true
199,66,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",48,true
200,66,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",48,true
201,67,original,0,,595,true
202,67,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",595,true
203,67,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",595,true
204,68,original,0,,36,true
205,68,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",36,true
206,68,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",36,true
207,69,original,0,,60,true
208,69,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",60,true
209,69,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",60,false
210,70,original,0,,7425,true
211,70,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",7425,false
212,70,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",7425,true
213,71,original,0,,60,true
214,71,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",60,true
215,71,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",60,true
216,72,original,0,,221,true
217,72,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",221,true
218,72,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",221,true
219,73,original,0,,255,true
220,73,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",255,true
221,73,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",255,true
222,74,original,0,,88,true
223,74,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",88,true
224,74,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",88,true
225,75,original,0,,60,true
226,75,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",60,true
227,75,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",60,true
228,76,original,0,,5,true
229,76,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",5,true
230,76,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",5,true
231,77,original,0,,100,true
232,77,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",100,false
233,77,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",100,true
234,78,original,0,,6,true
235,78,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",6,true
236,78,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",6,true
237,79,original,0,,70,true
238,79,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",70,true
239,79,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",70,true
240,80,original,0,,10,true
241,80,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",10,true
242,80,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",10,true
243,81,original,0,,17,true
244,81,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",17,true
245,81,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",17,true
246,82,original,0,,623,true
247,82,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",623,true
248,82,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",623,true
249,83,original,0,,600,true
250,83,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",600,true
251,83,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",600,true
252,84,original,0,,15,true
253,84,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",15,true
254,84,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",15,true
255,85,original,0,,44,true
256,85,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",44,true
257,85,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",44,true
258,86,original,0,,22,true
259,86,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",22,true
260,86,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",22,true
261,87,original,0,,9360,true
262,87,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",9360,false
263,87,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",9360,false
264,88,original,0,,8000,true
265,88,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",8000,true
266,88,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",8000,true
267,89,original,0,,24,true
268,89,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",24,false
269,89,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",24,false
270,90,original,0,,225,true
271,90,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",225,true
272,90,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",225,true
273,91,original,0,,28,true
274,91,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",28,true
275,91,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",28,true
276,92,original,0,,4,true
277,92,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",4,false
278,92,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",4,true
279,93,original,0,,36,true
280,93,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",36,false
281,93,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",36,false
282,94,original,0,,348,true
283,94,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",348,true
284,94,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",348,true
285,95,original,0,,40,true
286,95,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",40,false
287,95,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",40,true
288,96,original,0,,3,true
289,96,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",3,true
290,96,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",3,true
291,97,original,0,,12,true
292,97,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",12,true
293,97,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",12,true
294,98,original,0,,5,true
295,98,paraphrase,1,"Rewrite this problem in a conversational, narrative style. Vary the sentence structure but keep all numbers exactly as they appear.",5,true
296,98,paraphrase,2,"Rewrite this problem more concisely. Combine sentences where natural, but keep all numbers exactly as they appear and keep the question itself explicit.",5,true
297,99,original,0,,58,true
